Street_ID,Day_Night,Traffic_Count,Traffic_Density,Traffic_Speed,Ambient_Light_lux,Weather,Energy_Consumption_kWh,Power_State,Dim_Level,Latitude,Longitude,Special_Event,Holiday_Weekend,Hour,Day,Month,Cluster
8,Day,154,41.75017292,59.38388411,172.4390651,Clear,0.37,1,50,40.87709184,-73.81353767,1,0,5,21,1,0
3,Night,103,30.94996119,24.20858621,189.339042,Rainy,0.0,0,100,40.86255333,-74.12594319,0,0,12,11,1,1
9,Night,203,32.08960735,29.73331187,200.2360358,Cloudy,0.0,0,75,40.8098257,-73.85372424,1,0,20,29,1,0
5,Day,161,27.75824899,27.85004705,197.0784042,Cloudy,0.78,1,100,40.52960128,-74.07330167,0,0,13,5,1,1
1,Night,55,41.49245607,59.2821328,279.1097754,Clear,0.46,1,50,40.56581691,-74.11674236,1,1,7,8,1,0
6,Night,200,28.29391941,23.98635103,226.6541227,Cloudy,0.83,1,100,40.72857024,-73.85913927,0,0,17,26,1,1
2,Day,244,26.97133133,48.98025906,137.1543221,Clear,0.0,0,50,40.75190017,-73.77109106,0,0,17,15,1,1
6,Day,228,16.02501148,46.70096855,34.36878949,Cloudy,0.43,1,100,40.55216251,-74.16682238,1,0,4,12,1,0
1,Day,51,31.6925997,58.17235886,85.19757739,Clear,0.0,0,75,40.56995964,-73.88471373,0,0,17,10,1,1
1,Day,81,55.38302122,47.33211249,66.61026389,Clear,0.0,0,100,40.6039655,-74.05954125,0,1,8,23,1,2
10,Day,138,57.74712654,33.4248234,23.68030518,Clear,0.0,0,0,40.54624192,-74.1319992,0,1,15,3,1,2
4,Night,264,23.52800867,33.43668674,271.2019435,Cloudy,0.0,0,100,40.8095687,-73.70619232,0,0,7,9,1,1
2,Day,265,10.45296506,50.14616343,162.4859784,Cloudy,0.0,0,25,40.56969594,-73.78440059,1,1,19,22,1,0
6,Night,215,43.40376173,52.41551087,21.55221889,Rainy,0.21,1,75,40.85853098,-73.98515657,0,1,4,29,1,2
7,Night,96,50.50216979,37.46744834,201.2568706,Clear,0.44,1,75,40.71282094,-73.87354568,1,0,8,10,1,0
2,Day,232,46.75139715,57.19107503,248.9958307,Cloudy,0.0,0,25,40.64576446,-73.88767979,0,1,14,9,1,2
6,Day,136,47.63613484,57.49932812,136.3308412,Clear,0.52,1,100,40.57287947,-73.7907551,1,0,3,23,1,0
7,Day,167,53.64595115,39.75459305,17.38604041,Clear,0.0,0,0,40.8599441,-73.96171963,0,0,6,6,1,1
1,Night,87,25.46737957,25.54659155,109.4521307,Cloudy,0.0,0,75,40.65746827,-73.84065041,1,1,21,27,1,0
10,Day,71,42.17797863,40.85819021,25.26322669,Rainy,0.16,1,100,40.56313033,-73.98899534,1,0,10,18,1,0
1,Night,168,41.38692007,45.85032246,9.792097174,Cloudy,0.15,1,0,40.61128843,-73.83593314,1,0,3,21,1,0
9,Day,113,39.20356707,55.5040652,69.1114047,Cloudy,0.0,0,25,40.52225745,-74.01787252,1,0,3,9,1,0
1,Day,120,52.71086338,57.16032519,75.48022104,Rainy,0.21,1,50,40.73103913,-73.72439999,0,0,18,15,1,1
2,Day,233,41.47648889,28.5615523,299.4187157,Rainy,0.0,0,75,40.65694284,-73.93051099,0,0,16,24,1,1
9,Day,206,17.51049227,55.05514274,242.3611844,Clear,0.61,1,50,40.52103684,-74.0622822,0,0,21,23,1,1
6,Night,123,11.30597374,30.80700777,13.10983694,Cloudy,0.0,0,0,40.87112299,-74.03027967,0,0,13,23,1,1
4,Day,152,34.93749299,55.71910409,149.6660335,Cloudy,0.33,1,0,40.8678826,-73.85902492,0,0,14,6,1,1
7,Day,146,37.9592825,43.99360772,302.9300372,Cloudy,0.0,0,75,40.86272673,-73.97223066,0,0,1,15,1,1
6,Day,180,38.6653333,53.86671526,166.26211,Clear,0.39,1,75,40.81355233,-73.90537007,0,0,1,30,1,1
1,Day,154,16.83516269,30.94071359,149.355691,Cloudy,0.0,0,25,40.80409894,-73.89349212,1,1,21,6,1,0
10,Day,66,56.1674753,32.97689515,69.82295624,Clear,0.0,0,75,40.89918901,-73.9440927,0,1,20,20,1,2
10,Day,243,38.92017542,40.96701314,81.69258723,Rainy,0.0,0,100,40.85984247,-73.81098159,1,0,14,8,1,0
5,Night,54,22.2116106,34.74483992,83.04959464,Cloudy,0.0,0,100,40.58185417,-74.13082188,0,1,16,8,1,2
5,Night,72,50.71264352,40.36618534,44.91196964,Clear,0.0,0,0,40.72179258,-74.15779941,1,1,11,14,1,0
4,Night,172,43.55259811,50.73073353,271.1950348,Rainy,0.54,1,50,40.58491259,-73.77878461,1,1,10,9,1,0
2,Night,55,26.34311855,53.40330051,99.74204655,Clear,0.0,0,50,40.66580896,-73.99811694,0,1,4,17,1,2
7,Night,267,46.64584893,56.56746692,18.01543287,Clear,0.22,1,0,40.66576076,-73.75605768,1,1,20,8,1,0
9,Day,179,14.44182505,42.04033304,250.5982313,Cloudy,0.9,1,100,40.72685797,-73.90876971,0,1,5,24,1,2
10,Night,187,34.43643376,30.20738208,338.8105014,Cloudy,0.72,1,50,40.65797247,-73.80768586,0,1,5,15,1,2
7,Night,51,18.76392624,54.31856003,32.87815191,Clear,0.0,0,25,40.64181073,-73.84414549,0,1,2,4,1,2
5,Day,188,39.0898713,43.49109091,126.6502228,Rainy,0.0,0,75,40.80123981,-74.02821673,1,1,10,20,1,0
3,Night,167,53.17877265,57.51629418,317.4492641,Clear,0.65,1,0,40.79979296,-73.8723744,1,0,15,6,1,0
5,Night,179,53.90058832,41.82981317,164.2768995,Clear,0.0,0,100,40.66706217,-73.78664853,1,0,18,5,1,0
7,Night,229,25.15101164,30.86381075,205.7051679,Cloudy,0.55,1,75,40.85637241,-73.88083044,1,0,3,1,1,0
1,Night,61,28.27494982,57.96495186,232.7937473,Clear,0.0,0,100,40.70305966,-73.8604553,1,1,8,11,1,0
7,Night,286,46.48286342,46.27562829,78.7251613,Cloudy,0.0,0,50,40.82776997,-73.93356051,0,1,12,13,1,2
3,Night,291,23.0875169,38.07306677,165.2542659,Cloudy,0.52,1,25,40.56494829,-74.06264921,0,1,19,19,1,2
6,Day,106,26.22040211,27.32142258,208.0870796,Rainy,0.64,1,100,40.5165071,-73.79772263,0,1,20,12,1,2
3,Day,135,57.6312389,34.73862856,248.8371608,Rainy,0.0,0,100,40.60586666,-73.79743574,1,0,23,6,1,0
2,Day,157,50.67129514,30.81889001,265.6180974,Cloudy,0.0,0,0,40.82351851,-73.92306202,1,0,13,7,1,0
9,Day,130,39.43344888,21.02272739,292.0849407,Clear,0.0,0,0,40.5743041,-74.06656159,0,1,9,7,1,2
9,Day,159,43.97038039,27.91892119,56.42590604,Rainy,0.2,1,25,40.82165616,-73.80352877,1,1,23,22,1,0
2,Day,162,34.40521013,40.21780745,10.7851788,Clear,0.16,1,0,40.75009382,-74.15428375,0,0,10,16,1,1
